absent-minded    roztargniony
absurd           niedorzeczny, bezsensowny
accelerate       przyspieszyc
accelerator      padal "gazu"
achievement      osiagniecie
active           czynny
adhere           przylegac, przywierac
admission        wstep, przyjecie
advance          posuwac sie naprzod, postep
advertisement    reklama, ogloszenie
advise           doradzac
affair           sprawa, impreza
affect           oddzia³ywaæ, wplynac
aged             w wieku
agency           agencja
alpha            alfa
altogether       zupelnie, calkowicie, razem
ambition         ambicja
amount           ilosc, doza, kwota
amuse            bawic, rozerwac, rozweselac
anachronism      anachronizm
angrily          gniewnie, ze zloscia
anti-racialism   przeciw rasizmowi
anti-racialist   antyrasistowski
anyhow           w kazdym razie, tak czy owak
anyone           ktos, ktokolwiek, w zdaniu przeczacym: nikt
any way          w kazdym razie
apartheid        segregacja rasowa w Republice Poludniowo-Afrykanskiej
application      podanie
apply            wniesc podanie
apply for a job  starac sie o posade
appreciate       doceniac, wysoko sobie cenic
artificial       sztuczny, udany
assimilate       asymilowac, asymilowac sie
astronomer       astronom
atmosphere       atmosfera
attractive       atrakcyjny, pociagzjacy, powabny
awkward          niezreczny, krepujacy, niewygodny
abominable       wsretny
about            o,okolo, co do
above            ponad,w  gorze
abroad           za granica, za granice
absolutely       calkowicie
accent           akcent cudzoziemski
accept           przyjac
account          sprawozdanie, rachunek
acre             akr (okolo 4000 m2)
action           dzialanie
actor            aktor
actress          aktorka
act              akt, grac (na scenie),dzialac
addition         dodawanie, dodatek
add              dodawac
admiration       podziw
admire           podziwiac
adventurer       poszukiwacz przygod
aeroplane        samolot
afford           w zwrocie I can't afford - nie moge sobie pozwolic na (cos)
afraid           w zwrocie: to be afraid - bac sie
African          afrykanski
afternoon        popoludnie
after            po
against          przeciw
again            znowu
age              wiek
agree            zgadzac sie
agriculture      rolnictwo
airman           lotnik
airport          lotnisko, port lotniczy
airways          linie lotnicze
air-hostess      stewardesa
air-liner        samolot pasazerski
Alice            Aalicja
all              wszystko, wszystek, caly
alone            sam, samotnie
along            wzdluz  , Come along! - Chodz!
already          juz
always           zawsze
among            pomiedzy
amusing          zabawny
am               jestem
and              i,a
announce         zapowiadac
annoy            dokuczac, irytowac
another          inny
answer           odpowiedz, odpowiadac
any              jakies, pewne, kilka, troche
an               przedimek nieokreslony (przed wyrazami zacz.sie od samogloski)
apart            poza, niezaleznie od
apologize        przepraszac
appeal           w zwrocie: have an appal - pociagac, brac za serce
appear           zjawiac sie, wydawac sie
apple            jablko
April            kwiecien
aqualung         akwalung, aparat do plywania pod woda
architecture     architektura
architect        architekt
are              jestesmy, jestescie, sa
argue            sprzeczac sie, dowodzic
argument         spor, sprzeczka, argument
arm              ramie, reka
around           naokolo, dookola
arrange          urzadzic, zalatwic, ustawic
artist           artysta, malarz
art teacher      nauczyciel(ka) rysunkow
art              sztuka
ashamed          zawstydzony , be ashamed - wstydzic sie
ask              pytac, prosic
asleep           w zwrocie: to be asleep - spac
assembly hall    hala montazowa
assembly line    tasma montazowa
assembly         montaz
as               jak, jako, tak jak, gdy, poniewaz
atomic           atomowy
attempt          usilowanie, proba, usilowac
attendant        obslugujacy
attention        uwaga
at last          nareszcie
at               w, przy, o
August           sierpien
aunt             ciotka
Austin           marka samochodu
autumn           jesien
avenue           aleja
awfully          okropnie
awful            okropny
barometer        barometr
base             oprzec, wziac za podstawe, baza, podstawa
bear             zniesc,  znosic
bet              zalozyc sie, zaklad
beta             (litera) beta
biography        biografia
blame            winic, obciazac odpowiedzialnoscia, potepiac, ganic
boot             wysoki but
bore             nudzic, nudzic sie, nudziarz, nudziarstwo
boss             szef, kierownik
bowler           melonik
brake            hamowac, hamulec
breath           oddech
brink            krawedz, skraj
broadcast        transmisja, audycja radiowa, nadawac przez radio
bulp             zarowka
buhgalow         domek parterowy
burst            peknac, wybuchnac, wpasc
business         sprawa, interes, interesy, przedsiebiorstwo
butter up        przypochlebiac sie
back up          popierac
back             tyl, plecy, tylny, w tyl, z powrotem
bacon            boczek
bad              zly
bag              worek ,torba
bake             piec, upiec
ball-pen         dlugopis
bank             bank, brzeg (rzeki)
bathroom         lazienka
bath             kapiel, wanna
bay              zatoka
became           forma czasu Simple Past czasownika: become - stawac sie
because          bo, poniewaz
become           stawac sie
bedroom          sypialnia
bed              lozko
been             imieslow bierny czasownika be- byc
before           przed, przedtem
begin            zaczac, zaczynac (sie)
begun            imieslow bierny czasownika begin - zaczynac (sie)
behave           zachowywac sie
behaviour        zachowanie
behind           za, z tylu
believe          wierzyc, sadzic, uwazac
belt             pasek
better           lepszy, lepiej
Betty            Ela, Elzunia
beutiful         piekny
be interested    interesowac sie
be late          spoznic sie
be lucky         miec szczescie
be off           odejsc, wyniesc sie, wyruszyc
be wrong         nie miec racji, mylic sie
be               byc
bicycle          rower
big              duzy
birthday         urodziny
biscuit          herbatnik
bit              kawalek
blackboard       tablica
black            czarny
blazer           kurtka (szkolna)
blind            niewidomy, slepy
bloom            kwitnac
blue             niebieski
boarding-card    karta wstepu na statek (samolot)
